"","RT13Id","IsBadBuy"
"1",1,"0"
"2",7,"0"
"3",8,"0"
"4",20,"0"
"5",21,"0"
"6",25,"0"
"7",27,"0"
"8",30,"0"
"9",32,"0"
"10",33,"0"
"11",36,"0"
"12",41,"0"
"13",43,"0"
"14",47,"0"
"15",51,"0"
"16",56,"0"
"17",59,"0"
"18",62,"0"
"19",67,"0"
"20",70,"0"
"21",71,"0"
"22",74,"0"
"23",79,"0"
"24",82,"0"
"25",86,"0"
"26",89,"0"
"27",90,"0"
"28",91,"0"
"29",94,"0"
"30",100,"0"
"31",103,"0"
"32",107,"0"
"33",111,"0"
"34",116,"0"
"35",125,"0"
"36",130,"0"
"37",131,"0"
"38",134,"1"
"39",141,"0"
"40",143,"0"
"41",146,"0"
"42",147,"0"
"43",148,"0"
"44",153,"0"
"45",154,"0"
"46",157,"0"
"47",167,"0"
"48",168,"0"
"49",170,"0"
"50",175,"0"
"51",184,"0"
"52",187,"0"
"53",193,"0"
"54",195,"0"
"55",197,"0"
"56",200,"0"
"57",202,"0"
"58",203,"0"
"59",204,"0"
"60",205,"0"
"61",213,"0"
"62",216,"0"
"63",217,"0"
"64",219,"1"
"65",223,"1"
"66",228,"0"
"67",229,"0"
"68",230,"0"
"69",232,"0"
"70",237,"0"
"71",240,"0"
"72",242,"0"
"73",245,"0"
"74",246,"0"
"75",248,"0"
"76",252,"0"
"77",253,"0"
"78",255,"0"
"79",257,"0"
"80",264,"0"
"81",269,"0"
"82",270,"0"
"83",287,"0"
"84",291,"0"
"85",292,"0"
"86",299,"0"
"87",304,"0"
"88",306,"0"
"89",309,"0"
"90",311,"0"
"91",316,"0"
"92",317,"0"
"93",320,"0"
"94",321,"0"
"95",324,"0"
"96",329,"0"
"97",334,"0"
"98",340,"0"
"99",342,"0"
"100",344,"0"
"101",352,"0"
"102",355,"0"
"103",359,"0"
"104",361,"0"
"105",365,"0"
"106",371,"0"
"107",372,"0"
"108",373,"0"
"109",382,"0"
"110",385,"0"
"111",386,"0"
"112",390,"0"
"113",391,"0"
"114",392,"0"
"115",393,"0"
"116",394,"0"
"117",396,"0"
"118",397,"0"
"119",400,"0"
"120",401,"0"
"121",403,"0"
"122",405,"0"
"123",408,"0"
"124",410,"0"
"125",416,"1"
"126",418,"0"
"127",419,"0"
"128",420,"0"
"129",422,"0"
"130",424,"0"
"131",426,"0"
"132",427,NA
"133",429,"0"
"134",431,"0"
"135",432,"0"
"136",433,"0"
"137",443,"0"
"138",448,"0"
"139",453,"0"
"140",456,"1"
"141",462,"0"
"142",468,"0"
"143",469,"0"
"144",470,"0"
